site,year,sheet,remarks
LUZA,2004,Campaign,Converting
LUZA,2007,Campaign,Converting
LUZA,2009,Campaign,Converting
LUZA,2011,Campaign,Converting
LUZA,2012,Campaign,Converting
LUZA,2013,Campaign,Converting
LUZC,1996,Campaign,
LUZC,1997,Campaign,
LUZC,1998,Campaign,
LUZC,1999,Campaign,
LUZC,2000,Campaign,
LUZC,2004,Campaign,
LUZC,2008,Campaign,
LUZC,2009,Campaign,
LUZC,2011,Campaign,
LUZC,2012,Campaign,
LUZC,2013,Campaign,
LUZC,2019,Campaign,
LUZD,1996,Campaign,
LUZD,1997,Campaign,
LUZD,1998,Campaign,
LUZD,1999,Campaign,
LUZD,2000,Campaign,
LUZD,2004,Campaign,
LUZD,2007,Campaign,
LUZD,2009,Campaign,
LUZD,2010,Campaign,
LUZD,2011,Campaign,
LUZD,2012,Campaign,
LUZD,2013,Campaign,
LUZE,1996,Campaign,
LUZE,1997,Campaign,
LUZE,1998,Campaign,
LUZE,1999,Campaign,
LUZE,2000,Campaign,
LUZE,2004,Campaign,
LUZE,2007,Campaign,
LUZE,2011,Campaign,
LUZF,1996,Campaign,
LUZF,1997,Campaign,
LUZF,1998,Campaign,
LUZF,1999,Campaign,
LUZF,2000,Campaign,
LUZF,2004,Campaign,
LUZF,2007,Campaign,
LUZF,2011,Campaign,
LUZF,2013,Campaign,
LUZG,1996,Campaign,
LUZG,1997,Campaign,
LUZG,1998,Campaign,
LUZG,1999,Campaign,
LUZG,2000,Campaign,
LUZG,2004,Campaign,
LUZG,2007,Campaign,
LUZG,2009,Campaign,
LUZG,2011,Campaign,
LUZG,2013,Campaign,
LUZH,1996,Campaign,
LUZH,1997,Campaign,
LUZH,1998,Campaign,
LUZH,1999,Campaign,
LUZH,2000,Campaign,
LUZH,2004,Campaign,
LUZH,2007,Campaign,
LUZH,2009,Campaign,
LUZH,2012,Campaign,
LUZH,2013,Campaign,
LUZN,2012,Campaign,
LUZP,2012,Campaign,
MAA1,1998,Campaign,To retrieve
MAA1,2009,Campaign,To retrieve
MAA1,2010,Campaign,To retrieve
MAA1,2012,Campaign,To retrieve
MAA1,2014,Campaign,To retrieve
MAB1,2010,Campaign,
MAB1,2012,Campaign,
MAB1,2014,Campaign,
MABN,2012,Continuous,
MABN,2013,Continuous,
MAC2,2009,Campaign,
MAC2,2010,Campaign,
MAC2,2012,Campaign,
MAC2,2014,Campaign,
