path,ext,size,outcome,detail
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204130000A.T02,.t02,1197439,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204130000A.dat,.dat,2345305,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204140000A.T02,.t02,1194322,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204140000A.dat,.dat,2345561,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204150000A.T02,.t02,1199995,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204150000A.dat,.dat,2343707,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204160000A.T02,.t02,1200640,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204160000A.dat,.dat,2345777,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204170000A.T02,.t02,1206256,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204170000A.dat,.dat,2343852,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204180000A.T02,.t02,1198634,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204180000A.dat,.dat,2345030,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204190000A.T02,.t02,1214125,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204190000A.dat,.dat,2342462,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204200000A.T02,.t02,1210281,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204200000A.dat,.dat,2344244,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204210000A.T02,.t02,1000310,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201204210000A.dat,.dat,1885056,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205110000A.T02,.t02,1173334,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205110000A.dat,.dat,2286435,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205120000A.T02,.t02,1192008,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205120000A.dat,.dat,2341178,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205130000A.T02,.t02,1196774,ok,
/srv/gnss-archive/legacy/RECOVERED_SEAGATE_W2A0W9T2_DATA0/RAW/2012/AURA/AURA201205130000A.dat,.dat,2340393,ok,
