sheet,group,site,year,doy_range,fill_rgb,colour_meaning,colour_exact,site_fill_rgb,site_colour_meaning,status,time_series,year_processed,staff,remarks
Continuous,NCKU LEYTE,SNFO,2018,141---365,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2019,"1-42, 219-365",,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2020,1---366,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2021,"1-170, 222, 226, 328-350",,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2022,"48, 284-287",,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2023,201---365,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2024,1---366,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2025,"1-303, 315-365",,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SNFO,2026,1---35,,,,FFFFFF00,Downloaded data this year,Finished,Finished,,,Data complete
Continuous,NCKU LEYTE,SOGO,2017,270---365,,,,,,,,,,
Continuous,NCKU LEYTE,SOGO,2018,"1-37, 142-365",,,,,,,,,,
Continuous,NCKU LEYTE,SOGO,2019,1---365,,,,,,,,,,
Continuous,NCKU LEYTE,SOGO,2020,1---301,,,,,,,,,,
Continuous,NCKU LEYTE,SOGO,2024,"16-36, 204-366",,,,,,,,,,
Continuous,NCKU LEYTE,SOGO,2025,1---220,,,,,,,,,,
Continuous,NCKU LEYTE,TACB,2014,152---365,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,TACB,2015,1---365,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,TACB,2016,1---366,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,TACB,2017,1---365,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,TACB,2018,"1-35, 121-365",,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,TACB,2019,1---221,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,LAPS,2014,146---365,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,LAPS,2015,1---70,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,BURN,2014,146---357,FF5B9BD5,Data available,yes,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,BURN,2015,6---46,FF5B9BD5,Data available,yes,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,BURN,2016,348---366,FF5B9BD5,Data available,yes,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,BURN,2017,1---135,FF5B9BD5,Data available,yes,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,BURA,2016,348.0,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,BURA,2017,1---136,,,,FFFF0000,Old site/pulled out/decommissioned,,,,,
Continuous,NCKU LEYTE,TCDR,2019,246---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,TCDR,2020,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,TCDR,2021,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,TCDR,2022,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,TCDR,2023,1---365,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,TCDR,2024,1---366,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,TCDR,2025,1---356,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU LEYTE,TCDR,2026,36--183,,,,FFFFFF00,Downloaded data this year,,,,,
Continuous,NCKU MARINDUQUE,BOAC,2018,130---365,,,,,,True,True,2018-2026,RAEN,True
Continuous,NCKU MARINDUQUE,BOAC,2019,1---365,,,,,,True,True,2018-2026,RAEN,True
Continuous,NCKU MARINDUQUE,BOAC,2020,1---330,,,,,,True,True,2018-2026,RAEN,True
Continuous,NCKU MARINDUQUE,BOAC,2022,124---365,,,,,,True,True,2018-2026,RAEN,True
Continuous,NCKU MARINDUQUE,BOAC,2023,1---365,,,,,,True,True,2018-2026,RAEN,True
Continuous,NCKU MARINDUQUE,BOAC,2024,1---287,,,,,,True,True,2018-2026,RAEN,True
