# Built 2026-09-23 on gps3, together with the file beside it, by ONE command:
#   scripts/build_crd_catalog.py --root /srv/gnss-archive --root $P \
#       --rinex <listing of every RINEX path in the archive, 480,178 lines> \
#       -o docs/bern52/crd_catalog.csv --clusters-out docs/bern52/crd_clusters.csv
# Both files must come from the same invocation: --rinex adds sites that only
# RINEX headers cover, so a run without it yields fewer sites in both.
# One row per distinct MONUMENT, not per site code. A code
# naming two physical marks appears twice. Judge a real
# collision by cluster SIZE and RATIO -- see _cluster_row().
site,cluster,of_clusters,n_rows,n_files,x,y,z,lat,lon,height,spread_m,best_kind,frames
7400,1,1,2,2,1769700.2272,-5044613.2219,-3468259.6801,-33.1496332,-70.6686248,722.275,0.00,REFERENCE,ITRF2008
7401,1,1,2,2,1815517.5840,-5213464.7889,-3187998.9454,-30.1724583,-70.8000288,2155.233,0.00,REFERENCE,ITRF2008
7403,1,1,2,2,1942807.5968,-5804069.7602,-1796915.7534,-16.4657196,-71.4929600,2488.833,0.00,REFERENCE,ITRF2008
7404,1,1,2,2,1769714.6696,-5044609.6158,-3468260.4151,-33.1496320,-70.6684660,723.831,0.00,REFERENCE,ITRF2008
7405,1,1,4,2,1492030.5002,-4887946.3557,-3803566.3509,-36.8430103,-73.0253523,169.206,0.00,REFERENCE,ITRF2008
7406,1,1,2,2,1984104.3225,-5068867.1926,-3314482.5439,-31.5086258,-68.6231578,727.268,0.00,REFERENCE,ITRF2008
7410,1,1,2,2,918212.8859,-4346066.6006,4561957.7169,45.9555923,-78.0703017,195.262,0.00,REFERENCE,ITRF2008
7411,1,1,2,2,749864.8991,-3709310.8070,5116945.9779,53.6982331,-78.5712573,19.535,0.00,REFERENCE,ITRF2008
7501,1,1,2,2,5085401.1002,2668330.2325,-2768688.7336,-25.8897078,27.6861755,1406.789,0.00,REFERENCE,ITRF2008
7502,1,1,2,2,5041543.4255,1915353.2734,-3396942.1854,-32.3791820,20.8024886,1729.909,0.00,REFERENCE,ITRF2008
7505,1,1,2,2,4319399.0922,1868698.0550,4292024.9273,42.5556603,23.3947169,1114.413,0.00,REFERENCE,ITRF2008
7510,1,1,2,2,4353444.5776,2082666.6497,4156506.8466,40.9280219,25.5662250,182.616,0.00,REFERENCE,ITRF2008
7512,1,1,2,2,4573400.0288,2409322.5169,3723881.5948,35.9515176,27.7808045,73.912,0.00,REFERENCE,ITRF2008
7515,1,1,2,2,4595216.4854,2039435.4596,3912629.3954,38.0785922,23.9324647,510.564,0.00,REFERENCE,ITRF2008
7517,1,1,2,2,4728694.7358,2174373.5673,3674572.7950,35.4042420,24.6941691,102.414,0.00,REFERENCE,ITRF2008
7520,1,1,2,2,4596042.3752,1733477.0333,4055721.0762,39.7342529,20.6648367,598.631,0.00,REFERENCE,ITRF2008
7525,1,1,2,2,4745949.6064,1905706.0243,3799168.9447,36.7914444,21.8776153,476.192,0.00,REFERENCE,ITRF2008
7530,1,1,2,2,4443965.4487,3121945.4536,3334693.9561,31.7223973,35.0885568,772.892,0.00,REFERENCE,ITRF2008
7540,1,1,2,2,4641984.2656,1393058.0445,4133233.7295,40.6485483,16.7044843,528.621,0.00,REFERENCE,ITRF2008
7541,1,1,2,2,4641989.9927,1393042.6256,4133232.1367,40.6485312,16.7042903,528.383,0.00,REFERENCE,ITRF2008
7542,1,1,2,2,4399361.7262,910508.1319,4512942.1347,45.3218574,11.6930579,523.125,0.00,REFERENCE,ITRF2008
7543,1,1,2,2,4934528.6520,1321133.4992,3806522.6512,36.8765997,14.9884134,125.476,0.00,REFERENCE,ITRF2008
7544,1,1,2,2,5072831.7839,1130886.6393,3684837.2701,35.5177625,12.5674489,111.980,0.00,REFERENCE,ITRF2008
7545,1,1,2,2,4893397.8605,772673.6300,4004141.2241,39.1354978,8.9729906,229.995,0.00,REFERENCE,ITRF2008
7546,1,1,2,2,4461399.3430,919567.1650,4449510.7433,44.5200379,11.6464930,49.437,0.00,REFERENCE,ITRF2008
7548,1,1,2,2,4893347.1105,772583.1006,4004255.2203,39.1366595,8.9720479,252.111,0.00,REFERENCE,ITRF2008
7550,1,1,2,2,4336738.5599,1071271.6090,4537911.2094,45.6429555,13.8755634,447.214,0.00,REFERENCE,ITRF2008
7560,1,1,2,2,3183913.9661,1421473.6339,5322796.7555,56.9484643,24.0586019,29.225,0.00,REFERENCE,ITRF2008
7561,1,1,2,2,3783746.3352,2551362.8212,4441445.1283,44.4153559,33.9916075,386.461,0.00,REFERENCE,ITRF2008
7575,1,1,2,2,3848635.4050,3251760.9594,3898909.4038,37.9202412,40.1948918,724.738,0.00,REFERENCE,ITRF2008
7580,1,1,2,2,4247620.2605,2778639.0143,3851607.7092,37.3776641,33.1912553,1357.715,0.00,REFERENCE,ITRF2008
7585,1,1,2,2,4029730.4489,2802093.1967,4062068.1936,39.8005301,34.8130133,1677.006,0.00,REFERENCE,ITRF2008
